"Task ID","Task Owner ID",Subject,"Due Date","Contact Name","Related To",Status,Priority,"Created By","Modified By","Created Time","Modified Time",Description,"Send Notification Email",Reminder,Repeat,Currency,"Exchange Rate","Closed Time",Layout
zcrm_1236681000000432043,zcrm_1236681000000071001,"CB Anne Minkin of Boisset Living Wine for dec on TI,Conc & SF for 249 per show w/ tasing",2014-09-12,,zcrm_1236681000000397007,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-20 17:58:53","2014-09-12 09:43:33",,false,"2014-09-12 09:00:00",,,,,
zcrm_1236681000000432054,zcrm_1236681000000071001,"CB Susan Gallentine of Presidio Trust for dec on TI + SF Venue Prog. + FC offer at $499 they will cb on if interested",2014-09-16,,zcrm_1236681000000432049,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-20 18:07:19","2014-09-16 13:53:08",,false,"2014-09-25 09:00:00",,,,,
zcrm_1236681000000437131,zcrm_1236681000000071001,"VK CB Jerrilyn -Decor and Favors",2014-09-11,,zcrm_1236681000000383345,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000230001,"2014-08-20 16:14:58","2014-09-10 17:01:00","Said to Call her after 2:30PM",false,,,,,,
zcrm_1236681000000440018,zcrm_1236681000000071001,"CB AJ Patell for dec on Multi-Line or Single line options for Oct Nov shows after attending FC as guest",2014-09-12,,zcrm_1236681000000383284,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-22 10:48:19","2014-09-12 12:10:38",,false,"2014-09-12 09:00:00",,,,,
zcrm_1236681000000440032,zcrm_1236681000000071001,"CB Lilianna of Camp Campbell for dec on FC+FRE at $499 per show with purchase of both, otherwise reg. Venue rates",2014-09-15,,zcrm_1236681000000423001,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-08-23 16:14:14","2014-09-11 13:35:00",,false,"2014-09-15 09:00:00",,,,,
zcrm_1236681000000443129,zcrm_1236681000000071001,"VK CB Kevin Catering no Offer yet",2014-09-11,,zcrm_1236681000000364083,"Not Started",High,zcrm_1236681000000071001,zcrm_1236681000000230001,"2014-08-22 14:04:00","2014-09-10 16:34:36",,false,,,,,,
zcrm_1236681000000443134,zcrm_1236681000000071001,"VK CB Sherie about CND",2015-10-12,,zcrm_1236681000000372473,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000230001,"2014-08-22 14:05:07","2015-10-09 15:29:40",,false,"2015-10-12 09:00:00",,,,,
zcrm_1236681000000459109,zcrm_1236681000000071001,"VK SW Esther emailed no offer yet. Venue interested in FC and Fremont",2014-08-26,,zcrm_1236681000000379760,Deferred,High,zcrm_1236681000000071001,zcrm_1236681000000230001,"2014-08-25 16:10:32","2014-09-04 10:28:03",,false,,,,,,
zcrm_1236681000000459119,zcrm_1236681000000230001,"VK SW Tacha said she was interested in TI FC and SF offer 299 for TI and FC and 499 for SF for standard booth.",2014-09-05,,zcrm_1236681000000443140,"Not Started",High,zcrm_1236681000000071001,zcrm_1236681000000230001,"2014-08-25 16:34:06","2015-05-13 15:40:42",,false,,,,,,
zcrm_1236681000000504023,zcrm_1236681000000071001,"SKH CB Andrew Kim of Formal HQ if not received contract by now",2014-09-09,,zcrm_1236681000000361672,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-02 11:09:43","2014-09-11 12:15:39",,false,"2014-09-09 09:00:00",,,,,
zcrm_1236681000000504034,zcrm_1236681000000071001,"SKH - CB Karen Alvarado re: dec on Fremont Show",2014-09-08,,zcrm_1236681000000443144,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-02 11:16:43","2014-09-08 12:02:46",,false,"2014-09-08 09:00:00",,,,,
zcrm_1236681000000504045,zcrm_1236681000000071001,"SKH CB Claudia Velasco for Decision on Pleasanton Show",2014-09-25,,zcrm_1236681000000488005,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-02 15:05:40","2014-09-16 13:58:10",,false,"2014-09-25 09:00:00",,,,,
zcrm_1236681000000504056,zcrm_1236681000000071001,"SKH - CB Meghan of Hair & Makeup by Megan for Fash Show Sponsor offer $599/549/499 for 3 shows",2014-09-05,,zcrm_1236681000000475003,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-02 16:16:46","2014-09-11 13:56:37",,false,,,,,,
zcrm_1236681000000505108,zcrm_1236681000001758005,"VK IB CB Jerry- Videographer",2014-09-11,,zcrm_1236681000000479001,"In Progress",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-02 14:44:53","2015-10-27 13:13:13",,false,"2014-09-11 09:00:00",,,,,
zcrm_1236681000000505113,zcrm_1236681000001758005,"CB Ryan -emailed 6/5/4 Caterer",2014-09-04,,zcrm_1236681000000360483,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-02 14:46:20","2015-10-27 13:13:13",,true,"2014-09-03 09:00:00",,,,,
zcrm_1236681000000505118,zcrm_1236681000001758005,"VK IBCB - Charlotte- Arthur Murray - $499",2014-10-31,,zcrm_1236681000000490001,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-02 14:47:59","2015-10-27 13:13:13",,false,"2014-10-31 09:00:00",,,,,
zcrm_1236681000000505157,zcrm_1236681000001758005,"VK CB Lori- Make-up-",2014-09-04,,zcrm_1236681000000360603,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-02 15:05:12","2015-10-27 13:13:13",,false,"2014-09-04 13:30:00",,,,,
zcrm_1236681000000505178,zcrm_1236681000001758005,"VK SW Afelio CB -Venue",2014-09-04,,zcrm_1236681000000380895,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-02 15:08:57","2015-10-27 13:13:13",,true,"2014-09-02 16:00:00",,,,,
zcrm_1236681000000505209,zcrm_1236681000001758005,"VK CB Veera for CND.",2015-10-16,,zcrm_1236681000000383236,Completed,High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-02 15:28:28","2015-10-27 13:13:13",,false,"2015-10-16 09:00:00",,,,"2015-10-16 12:48:29",
zcrm_1236681000000505218,zcrm_1236681000001758005,"VK IBCB Jack Photo- Interested in Fremont",2014-09-04,,zcrm_1236681000000496001,Completed,High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-02 15:31:05","2016-08-12 12:51:01",,false,"2014-09-04 09:00:00",,,,"2016-08-12 12:51:01",
zcrm_1236681000000519016,zcrm_1236681000000071001,"SKH - CB Alysia of Beauty by Alysia to get dec on $899/799/699 offer for Dlx shared booth w/ Hairstylist I have approved.",2014-09-09,,zcrm_1236681000000500001,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-03 11:28:04","2014-09-11 14:07:47",,false,,,,,,
zcrm_1236681000000519027,zcrm_1236681000000071001,"SKH CB Lindsay from Gonzeles Orthodontics for dec on Std. $799/699/599 offer",2014-09-12,,zcrm_1236681000000503003,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-03 11:57:11","2014-09-11 12:17:17",,false,"2014-09-12 09:00:00",,,,,
zcrm_1236681000000519072,zcrm_1236681000000071001,"CB Anna Zhang of K&M Manufacturing if not received contract for $399 + Gift Certificate if not received by now",2014-09-08,,zcrm_1236681000000446009,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-03 12:30:38","2014-09-08 12:02:16",,false,"2014-09-08 09:00:00",,,,,
zcrm_1236681000000519124,zcrm_1236681000000071001,"CB Cat Zuniga of Tarverdi Travel for dec on $899/79/699 dlx offer sent 9/3",2014-09-24,,zcrm_1236681000000506003,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-03 13:51:09","2014-09-03 13:51:09",,false,"2014-09-24 09:00:00",,,,,
zcrm_1236681000000519181,zcrm_1236681000001758005,"VK CB Lisa It Works for decision of $599 per booth",2014-09-04,,zcrm_1236681000000384480,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-03 16:25:59","2015-10-27 13:13:13",,false,"2014-09-04 12:30:00",,,,,
zcrm_1236681000000526042,zcrm_1236681000001758005,"VK CB Marlene Bridal Gowns 799 for Fashion shows for CND/TI/SF",2014-09-09,,zcrm_1236681000000365275,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-04 10:55:50","2015-10-27 13:13:13",,false,"2014-09-09 09:00:00",,,,,
zcrm_1236681000000526067,zcrm_1236681000001758005,"VK CB Manuel - Video for FSH for FR/CN/TI",2015-08-26,,zcrm_1236681000000354466,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-04 11:42:52","2015-10-27 13:13:13",,false,"2015-08-26 09:00:00",,,,,
zcrm_1236681000000526101,zcrm_1236681000001758005,"VK CB Maria - Cakes offered 499 for STD at FRMT",2014-09-05,,zcrm_1236681000000383384,"In Progress",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-04 12:17:32","2015-10-27 13:13:13",,false,"2014-09-05 01:00:00",,,,,
zcrm_1236681000000526175,zcrm_1236681000001758005,"VK CB candice - Venue",2014-09-13,,zcrm_1236681000000382082,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-04 16:28:50","2015-10-27 13:13:13",,false,"2014-09-13 09:00:00",,,,,
zcrm_1236681000000528010,zcrm_1236681000000071001,"SKH CB Xochilt of Walk In Her Shoes Planning for Fre Contract STD @ $299 if not received in Mail by now",2014-09-04,,zcrm_1236681000000528001,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-04 11:10:40","2014-09-11 12:24:38",,false,"2014-09-11 09:00:00",,,,,
zcrm_1236681000000528019,zcrm_1236681000000071001,"SKH CB Rhiannon of Purple Orchid to see if she wants New $499 offer for Fre + TI",2014-09-26,,zcrm_1236681000000370106,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-04 11:20:56","2014-09-16 13:30:19",,false,"2014-09-26 09:00:00",,,,,
zcrm_1236681000000528030,zcrm_1236681000000071001,"CB Dawn Kelly re: adding TI + Conc to SF for new PV Potential agreement.",2014-09-09,,zcrm_1236681000000385663,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-05 15:07:05","2014-09-11 12:16:07",,false,"2014-09-09 09:00:00",,,,,
zcrm_1236681000000532016,zcrm_1236681000001758005,"VK IBCB Lisa -Acupuncturist- OFFERED 450x2 for TI and SF.",2014-09-05,,zcrm_1236681000000528023,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-05 16:00:22","2015-10-27 13:13:13",,false,"2014-09-09 09:00:00",,,,,
zcrm_1236681000000532064,zcrm_1236681000001758005,"VK CB Maru - Cake",2014-10-03,,zcrm_1236681000000383385,Completed,High,zcrm_1236681000000230001,zcrm_1236681000001758005,"2014-09-05 16:51:41","2015-11-18 09:27:12",,false,"2014-10-03 09:00:00",,,,"2015-11-18 09:27:12",
zcrm_1236681000000540002,zcrm_1236681000001758005,"CB Tam for CND",2015-10-16,,zcrm_1236681000000385683,"In Progress",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-08 10:43:37","2015-10-27 13:13:13","Said he will forward email back to me. 9/10/14",false,"2015-10-16 12:00:00",,,,,
zcrm_1236681000000540015,zcrm_1236681000001758005,"VK CB Jessica for Grand Prize Info.",2014-09-09,,zcrm_1236681000000384552,Completed,High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-08 13:30:15","2015-10-27 13:13:13",,false,"2014-09-09 09:00:00",,,,"2015-10-09 16:25:45",
zcrm_1236681000000540020,zcrm_1236681000001758005,"VK CB Jason Photo Booth  about  Spring shows 2016",2015-10-20,,zcrm_1236681000000384513,Completed,High,zcrm_1236681000000230001,zcrm_1236681000002641013,"2014-09-08 13:31:50","2016-01-08 15:01:08","emailed so far and texted.",false,"2015-10-20 09:00:00",,,,"2016-01-08 15:01:08",
zcrm_1236681000000540027,zcrm_1236681000001758005,"LVM FRR.",2016-03-07,,zcrm_1236681000000383349,"In Progress",High,zcrm_1236681000000230001,zcrm_1236681000001758005,"2014-09-08 13:47:41","2016-03-03 09:58:06",,false,"2016-03-07 09:00:00",,,,,
zcrm_1236681000000540032,zcrm_1236681000001758005,"VK emailed James Need PV info",2014-09-09,,zcrm_1236681000000372415,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-08 14:02:42","2015-10-27 13:13:13",,false,"2014-09-09 09:00:00",,,,,
zcrm_1236681000000540043,zcrm_1236681000001758005,"VK IBCB ZANDRA Honey moon Travel.",2014-09-09,,zcrm_1236681000000528034,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-08 15:42:32","2015-10-27 13:13:13",,false,"2014-09-09 09:00:00",,,,,
zcrm_1236681000000540058,zcrm_1236681000001758005,"VK IBCB Nancy - Wedding Officiant",2014-09-09,,zcrm_1236681000000527003,"In Progress",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-08 15:53:17","2015-10-27 13:13:13",,false,"2014-09-29 15:00:00",,,,,
zcrm_1236681000000550020,zcrm_1236681000001758005,"VK IB CB Mandi- Dave and Busteres",2014-09-11,,zcrm_1236681000000368996,Completed,High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-10 12:53:06","2015-10-27 13:13:13",,false,"2014-09-11 09:00:00",,,,,
zcrm_1236681000000557012,zcrm_1236681000000071001,"CB Zachary of Doughty Hazen for decision on $499/399/299 offer for Std+ booth & 2 stage perfs.",2014-09-15,,zcrm_1236681000000554001,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-10 14:21:14","2014-09-10 14:21:14",,false,"2014-09-15 09:00:00",,,,,
zcrm_1236681000000557021,zcrm_1236681000000071001,"CB Dana of Jamberry nails for offer of $599/499/399 for MLM",2014-09-17,,zcrm_1236681000000553001,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-10 14:33:17","2014-09-16 13:26:10",,false,"2014-09-17 09:00:00",,,,,
zcrm_1236681000000557034,zcrm_1236681000000071001,"CB Elaine of Katlex Party Supply (Floral) for dec on 4 show offer $899/799/699 + Trade for Decor or TI",2014-09-15,,zcrm_1236681000000550005,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-10 14:38:48","2014-09-10 14:38:48",,false,"2014-09-15 09:00:00",,,,,
zcrm_1236681000000557045,zcrm_1236681000000071001,"CB Margaret for dec on $599/499/399 offer sent",2014-09-17,,zcrm_1236681000000537005,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-10 14:42:38","2014-09-16 12:38:02",,false,"2014-09-17 09:00:00",,,,,
zcrm_1236681000000557056,zcrm_1236681000000071001,"CB Ronita for dec on TI + Conc offer of Std for $399 per show...These 2 shows only. Others $799",2014-09-18,,zcrm_1236681000000535005,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-10 14:50:14","2015-06-04 11:03:12",,false,,,,,,
zcrm_1236681000000563074,zcrm_1236681000000071001,"SKH - CB Thida from Fremont Flower Pavilion for $599/499 1st time show offer for Fremont only!",2014-09-15,,zcrm_1236681000000564001,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-11 18:03:30","2015-06-02 11:19:50",,false,,,,,,
zcrm_1236681000000569008,zcrm_1236681000000071001,"CB Anne Minkin of Boisset Living Wine for dec on TI,Conc & SF for 249 per show w/ tasing",2014-09-23,,zcrm_1236681000000397007,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-12 09:44:41","2014-09-12 09:44:41",,false,"2014-09-23 09:00:00",,,,,
zcrm_1236681000000571014,zcrm_1236681000000071001,"SKH CB Melissa of Caterman for dec on $699/599/499 Dlx offer sent 9/12",2014-09-18,,zcrm_1236681000000563001,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-12 14:34:05","2014-09-17 16:22:31",,false,"2014-09-17 09:00:00",,,,,
zcrm_1236681000000571025,zcrm_1236681000001758005,"FA16 call. LS int. CALL AFTER 1PM. sent new lead request. LVM Intro. LS interest.  CB Kimberly for Dec on TI Floral Sponsor @ $399 and other Booths at $699/599/499 Dlx sent 9/12",2016-04-25,,zcrm_1236681000000541001,Completed,High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-12 14:42:46","2016-10-28 09:43:36",,false,"2016-04-25 09:00:00",,,,"2016-10-28 09:43:36",
zcrm_1236681000000571036,zcrm_1236681000000071001,"SKH CB Shawna Joaquin if no Contract by Today. Offered $399 for Fre and/or TI",2014-09-15,,zcrm_1236681000000463003,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-12 15:37:57","2014-09-12 15:37:57",,false,"2014-09-15 09:00:00",,,,,
zcrm_1236681000000571047,zcrm_1236681000000071001,"SKH CB Jaime Eggers of Younique cosmetics for a Decision on $599/499/399 offer sent 9/12",2014-09-18,,zcrm_1236681000000550088,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-12 17:09:28","2014-09-12 17:09:28",,false,"2014-09-18 09:00:00",,,,,
zcrm_1236681000000573013,zcrm_1236681000001758005,"vk IBCB JENNA It Works",2014-09-15,,zcrm_1236681000000383314,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-12 13:03:37","2015-10-27 13:13:13",,true,"2014-09-16 01:00:00",,,,,
zcrm_1236681000000573025,zcrm_1236681000001758005,"VK IBCB Danyl said she wants to do one show for It Works.",2014-09-12,,zcrm_1236681000000378508,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-12 13:12:00","2015-10-27 13:13:13",,false,"2014-09-16 09:00:00",,,,,
zcrm_1236681000000600020,zcrm_1236681000001758005,"VK IBCB Denise Lash company",2014-09-16,,zcrm_1236681000000575001,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-16 13:59:00","2015-10-27 13:13:13",,false,"2014-09-17 09:00:00",,,,,
zcrm_1236681000000600032,zcrm_1236681000001758005,"VK IBCB Danae -Fitness",2014-09-17,,zcrm_1236681000000578003,"In Progress",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-16 14:00:35","2015-10-27 13:13:13",,false,"2014-09-18 01:00:00",,,,,
zcrm_1236681000000600049,zcrm_1236681000001758005,"VK IBCB Janea It Works.",2014-09-17,,zcrm_1236681000000573035,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-16 14:04:20","2015-10-27 13:13:13",,true,"2014-09-17 01:00:00",,,,,
zcrm_1236681000000611008,zcrm_1236681000001758005,"VK IBCB TWEE- Javita",2014-09-17,,zcrm_1236681000000603003,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-17 11:11:49","2015-10-27 13:13:13",,false,"2014-09-18 09:00:00",,,,,
zcrm_1236681000000611021,zcrm_1236681000001758005,"VK CB Nathalie -Jewelry Cloe + Isabel for CND",2015-10-12,,zcrm_1236681000000599005,Completed,High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-17 11:30:07","2015-10-27 13:13:13",,false,"2015-10-12 09:00:00",,,,"2015-10-12 09:41:26",
zcrm_1236681000000611036,zcrm_1236681000001758005,"VK IBCB Michelle -Jamberry Nails",2014-09-17,,zcrm_1236681000000610001,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-17 11:34:20","2015-10-27 13:13:13",,false,"2014-09-18 09:00:00",,,,,
zcrm_1236681000000611108,zcrm_1236681000001758005,"VK IBCB Matt -Videographer",2014-09-17,,zcrm_1236681000000410001,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-17 15:29:50","2015-10-27 13:13:13",,false,"2014-09-18 09:00:00",,,,,
zcrm_1236681000000611129,zcrm_1236681000001758005,"VK CB Kendra- Venue",2014-09-17,,zcrm_1236681000000368990,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-17 15:57:49","2015-10-27 13:13:13",,false,"2014-09-18 09:00:00",,,,,
zcrm_1236681000000678008,zcrm_1236681000000071001,"CB Cristina Burns of Bridal Stop & Events Planning for dec on $799 offer for Pleas",2014-11-04,,zcrm_1236681000000664017,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-24 10:32:44","2014-10-23 13:34:19",,false,"2014-11-04 09:00:00",,,,,
zcrm_1236681000000678027,zcrm_1236681000000071001,"CB linda Ruiz of Park Place Vintage for dec on $599 Fashion show offer for 2015 Spring Shows",2014-11-13,,zcrm_1236681000000638119,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-24 12:02:53","2014-09-24 12:02:53",,false,"2014-11-13 09:00:00",,,,,
zcrm_1236681000000678038,zcrm_1236681000000071001,"CB Sergio of Nora Spanish Catering for $499 contract if nor rcvd by now",2014-09-29,,zcrm_1236681000000660001,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-24 13:28:48","2014-09-24 13:28:48",,false,"2014-09-29 09:00:00",,,,,
zcrm_1236681000000683010,zcrm_1236681000001758005,"VK IBCB Dennis -Magician",2014-09-24,,zcrm_1236681000000356847,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-24 11:39:36","2015-10-27 13:13:13",,false,"2014-09-25 09:00:00",,,,,
zcrm_1236681000000683021,zcrm_1236681000001758005,"VK IBCB Laura- Casino Venue",2014-09-30,,zcrm_1236681000000354444,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-24 13:31:33","2015-10-27 13:13:13",,false,"2014-09-30 09:00:00",,,,,
zcrm_1236681000000683060,zcrm_1236681000001758005,"VK IBCB Jillian- Jamberry Nails",2014-09-25,,zcrm_1236681000000661001,"Not Started",High,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-24 16:08:38","2015-10-27 13:13:13",,false,"2014-09-25 09:00:00",,,,,
zcrm_1236681000000693010,zcrm_1236681000001758005,"VK IBCB Eileen Thurday,",2014-10-02,,zcrm_1236681000000578001,"Not Started",Highest,zcrm_1236681000000230001,zcrm_1236681000000071001,"2014-09-25 14:44:47","2015-10-27 13:13:13",,false,"2014-10-02 09:00:00",,,,,
zcrm_1236681000000694008,zcrm_1236681000000071001,"CB Spencer of Classic Photo booths for dec on $899/799/699 + $549 for TI",2014-09-30,,zcrm_1236681000000565001,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-25 17:34:52","2014-09-25 17:34:52",,false,"2014-09-30 09:00:00",,,,,
zcrm_1236681000000695008,zcrm_1236681000000071001,"CB Jeremy of Orinda CC for dec on Venue prog +$100 for 2 shows + $399 for TI w/ F & B",2014-10-01,,zcrm_1236681000000666003,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-26 11:20:04","2014-09-30 13:23:46",,false,"2014-10-01 09:00:00",,,,,
zcrm_1236681000000695028,zcrm_1236681000000071001,"CB Marie of Brick & Bottle Restaurant for dec on $499  Treasure Island",2014-09-30,,zcrm_1236681000000385725,"In Progress",High,zcrm_1236681000000071001,zcrm_1236681000000071001,"2014-09-26 15:02:36","2014-09-26 15:02:36",,false,"2014-09-30 09:00:00",,,,,
